table,column,dtype,n,n_unique,pct_missing,role,examples,min,max,mean,median,std,q01,q25,q50,q75,q99,skew,kurtosis,cv
dyads,utility_gap,float64,12000,29,0.0,"FAIRNESS (within-dyad |u1-u2|, 0 = equal)",0.19999999999999996 | 0.0 | 0.09999999999999998 | 0.20000000000000007,0.0,1.0,0.29195,0.19999999999999996,0.319333204205158,0.0,0.0,0.19999999999999996,0.5,1.0,0.9067447823108802,-0.5038916271617278,1.0937941572363692
dyads,signed_gap,float64,12000,57,0.0,derived,0.19999999999999996 | 0.0 | 0.09999999999999998 | 0.20000000000000007,-1.0,1.0,0.005833333333333334,0.0,0.4326448551484741,-1.0,-0.10000000000000009,0.0,0.19999999999999996,1.0,-0.08902558796783691,0.42513314885225206,74.16768945402413
dyads,gini,float64,12000,119,0.0,FAIRNESS (Gini of the two utilities),0.17857142857142852 | 0.0 | 0.09090909090909088 | 0.19230769230769226,0.0,1.0,0.27190480110674947,0.13513513513513517,0.3089068676433981,0.0,0.0,0.13513513513513517,0.4545454545454545,1.0,1.0244566704818727,-0.21332161186834542,1.1360846383956333
dyads,fairness,float64,12000,109,0.0,FAIRNESS (1 - Gini),0.8214285714285715 | 1.0 | 0.9090909090909092 | 0.8076923076923077,0.0,1.0,0.7280951988932505,0.8648648648648648,0.30890686764340475,0.0,0.5454545454545455,0.8648648648648648,1.0,1.0,-1.0244566704818725,-0.21332161186834586,0.42426713994675724
dyads,p_CC,float64,12000,11,0.0,outcome frequency,0.3 | 0.5 | 0.2 | 0.1,0.0,1.0,0.40545,0.3,0.3755268066754707,0.0,0.1,0.3,0.8,1.0,0.4812064363877162,-1.324151186741602,0.9261975747329405
dyads,p_CD,float64,12000,11,0.0,outcome frequency,0.1 | 0.0 | 0.2 | 0.4,0.0,1.0,0.181175,0.1,0.2704888470769829,0.0,0.0,0.1,0.225,1.0,1.6582140606274571,1.733727163122376,1.4929700404414676
dyads,p_DC,float64,12000,11,0.0,outcome frequency,0.3 | 0.0 | 0.2 | 0.1,0.0,1.0,0.18700833333333336,0.1,0.2661540025874226,0.0,0.0,0.1,0.3,1.0,1.5565447895071265,1.5028232408490307,1.423220012944642
dyads,p_DD,float64,12000,11,0.0,outcome frequency,0.3 | 0.5 | 0.4 | 0.7,0.0,1.0,0.22636666666666666,0.1,0.30134537158378216,0.0,0.0,0.1,0.4,1.0,1.3192077853200879,0.5985999401875128,1.3312267924478671
dyads,p_exploit,float64,12000,15,0.0,outcome frequency,0.4 | 0.0 | 0.30000000000000004 | 0.2,0.0,1.0,0.3681833333333334,0.30000000000000004,0.3175260119836675,0.0,0.0,0.30000000000000004,0.6,1.0,0.4272116897689107,-1.0204599319810097,0.8624127798207435
dyads,dd_absorbed,int64,12000,2,0.0,BEHAVIOUR (locked into mutual defection),0 | 1,0.0,1.0,0.09525,0.0,0.2935721709420796,0.0,0.0,0.0,0.0,1.0,2.7578735973456405,5.606801218038746,3.082122529575639
dyads,longest_dd,int64,12000,11,0.0,derived,3 | 5 | 4 | 2,0.0,10.0,1.7518333333333334,1.0,2.6810779524547685,0.0,0.0,1.0,2.0,10.0,1.9789938623387098,3.10792323707945,1.5304412248814205
dyads,first_dd,float64,12000,11,44.4667,derived,1.0 | 2.0 | 4.0 | 5.0,1.0,10.0,2.8497899159663866,2.0,2.5050044374930924,1.0,1.0,2.0,4.0,10.0,1.4113515587542436,1.0102767572500122,0.8790137207863707
dyads,n_switch,int64,12000,10,0.0,derived,3 | 1 | 4 | 2,0.0,9.0,1.69875,1.0,1.861169999484306,0.0,0.0,1.0,3.0,7.0,1.0608156780623645,0.4860158433727939,1.095611478725125
